Wavelength (micron)  Noise (photon/spectral_pixel)
      0.99309355       382.85125
      0.99320215       374.59751
      0.99331075       371.26898
      0.99341935       367.69232
      0.99352795       364.31087
      0.99363655       364.27953
      0.99374515       367.76247
      0.99385375       372.04888
      0.99396235       387.42963
      0.99407095       451.52804
      0.99417955       595.27767
      0.99428815       783.40905
      0.99439675       941.66765
      0.99450535       1029.1350
      0.99461395       1078.0436
      0.99472255       1149.8808
      0.99483114       1234.5491
      0.99493974       1254.3241
      0.99504834       1159.7507
      0.99515694       970.84785
      0.99526554       752.17383
      0.99537414       571.17293
      0.99548274       490.97945
      0.99559134       574.94518
      0.99569994       789.57541
      0.99580854       1013.2077
      0.99591714       1134.8063
      0.99602574       1109.9153
      0.99613434       997.09565
      0.99624294       932.79499
      0.99635154       970.30436
      0.99646014       1000.7034
      0.99656874       927.81986
      0.99667734       757.11570
      0.99678594       563.53719
      0.99689454       430.18116
      0.99700314       387.20437
      0.99711174       412.82406
      0.99722034       488.68108
      0.99732894       590.70797
      0.99743754       672.43763
      0.99754614       692.12563
      0.99765474       642.65946
      0.99776334       558.51940
      0.99787194       493.97981
      0.99798054       474.28610
      0.99808913       476.05029
      0.99819773       469.27473
      0.99830633       445.40879
      0.99841493       413.19409
      0.99852353       386.01500
      0.99863213       370.92218
      0.99874073       366.53415
      0.99884933       369.07079
      0.99895793       375.53414
      0.99906653       381.60513
      0.99917519       381.63628
      0.99928373       374.59833
      0.99939239       366.14726
      0.99950099       361.82090
      0.99960959       362.80914
      0.99971819       369.03401
      0.99982679       384.66410
      0.99993539       421.55310
       1.0000440       486.72182
       1.0001526       560.80114
       1.0002612       606.91612
       1.0003698       602.06165
       1.0004784       554.62636
       1.0005870       494.10023
       1.0006956       443.78769
       1.0008042       409.18602
       1.0009128       393.95091
       1.0010214       425.35163
       1.0011300       566.42685
       1.0012386       847.27309
       1.0013472       1201.3388
       1.0014558       1501.2841
       1.0015644       1625.4729
       1.0016730       1520.6970
       1.0017816       1231.5803
       1.0018902       879.34877
       1.0019988       601.34792
       1.0021074       475.60533
       1.0022160       466.76726
       1.0023246       504.64839
       1.0024332       575.63909
       1.0025418       699.50705
       1.0026504       856.35507
       1.0027590       971.04296
       1.0028676       976.43627
       1.0029762       869.84617
       1.0030848       725.46019
       1.0031934       626.87475
       1.0033020       560.74061
       1.0034106       483.33654
       1.0035192       417.68600
       1.0036278       391.42445
       1.0037364       390.31065
       1.0038450       398.26917
       1.0039536       408.77627
       1.0040622       418.70317
       1.0041708       436.30810
       1.0042794       486.55932
       1.0043880       580.44406
       1.0044966       681.91280
       1.0046052       736.59668
       1.0047138       714.29124
       1.0048224       625.94691
       1.0049310       516.54600
       1.0050396       437.94301
       1.0051482       413.40071
       1.0052568       421.23019
       1.0053654       426.71426
       1.0054740       427.15439
       1.0055826       442.71044
       1.0056912       465.18217
       1.0057998       468.30322
       1.0059084       472.16429
       1.0060170       536.45838
       1.0061256       663.63905
       1.0062342       785.92548
       1.0063428       836.31098
       1.0064514       789.30693
